ID,County,latitude ,longitude,year,clade,clade__shape,clade__colour,ST,Clonal complex,resistance phenotype
TW16637,Washtenaw,42.24248834,-83.5760594,2012,IA,circle ,#131517,7009,,Susceptible
TW16656,Washtenaw,42.24248834,-83.5760594,2012,IA,circle ,#131517,2875,,Susceptible
TW16676,Livingston,42.5970636,-83.89856975,2012,IA,circle ,#131517,6788,ST-1332 ,TET
TW19153,Washtenaw,42.24248834,-83.5760594,2014,IA,circle ,#131517,1030,,Susceptible
TW19321,Oakland,42.66281381,-83.32085081,2014,IA,circle ,#131517,1034,ST-1034 ,Susceptible
TW16453,Washtenaw,42.24248834,-83.5760594,2011,IB,circle ,#736BEF,467,ST-49 ,Susceptible
TW16491,Newaygo,43.89617472,-85.84419251,2012,IB,circle ,#736BEF,922,,TET
TW16649,Washtenaw,42.24248834,-83.5760594,2012,IB,circle ,#736BEF,922,,Susceptible
TW16707,,,,2012,IB,circle ,#736BEF,922,,TET
TW16724,,,,2012,IB,circle ,#736BEF,467,ST-49 ,TET
TW19137,Wayne,42.28379532,-83.25885583,2013,IB,circle ,#736BEF,922,,TET
TW19138,Washtenaw,42.24248834,-83.5760594,2013,IB,circle ,#736BEF,922,,TET
TW19273,Kent,42.98915015,-85.6300682,2014,IB,circle ,#736BEF,467,ST-49 ,Susceptible
TW19320,Newaygo,43.89617472,-85.84419251,2014,IB,circle ,#736BEF,922,,TET
TW19322,Washtenaw,42.24248834,-83.5760594,2014,IB,circle ,#736BEF,922,,TET
TW16621,Washtenaw,42.24248834,-83.5760594,2012,IC,circle ,#EDAD76,929,ST-257 ,TET
TW16645,,,,2012,IC,circle ,#EDAD76,929,ST-257 ,TET
TW16663,Clinton,42.9875255,-84.53379843,2012,IC,circle ,#EDAD76,929,ST-257 ,TET
TW16665,Clinton,42.9875255,-84.53379843,2012,IC,circle ,#EDAD76,929,ST-257 ,TET
TW19124,Wayne,42.28379532,-83.25885583,2013,IC,circle ,#EDAD76,929,ST-257 ,CIPTET
TW19130,,,,2013,IC,circle ,#EDAD76,929,ST-257 ,TET
TW19313,Wayne,42.28379532,-83.25885583,2014,IC,circle ,#EDAD76,929,ST-257 ,TET
TW19317,,,,2014,IC,circle ,#EDAD76,929,ST-257 ,TET
TW19318,Wayne,42.28379532,-83.25885583,2014,IC,circle ,#EDAD76,929,ST-257 ,TET
TW16362,Livingston,42.5970636,-83.89856975,2011,ID,circle ,#ED76E0,354,ST-354 ,Susceptible
TW16373,Washtenaw,42.24248834,-83.5760594,2011,ID,circle ,#ED76E0,3510,ST-353 ,TET
TW16399,New Jersey,40.37479161,-74.5601764,2011,ID,circle ,#ED76E0,353,ST-353 ,Susceptible
TW16430,Wayne,42.28379532,-83.25885583,2011,ID,circle ,#ED76E0,607,ST-607 ,TET
TW16440,Washtenaw,42.24248834,-83.5760594,2011,ID,circle ,#ED76E0,607,ST-607 ,TET
TW16443,Oakland,42.66281381,-83.32085081,2011,ID,circle ,#ED76E0,353,ST-353 ,TET
TW16445,Wayne,42.28379532,-83.25885583,2011,ID,circle ,#ED76E0,353,ST-353 ,TET
TW16455,Livingston,42.5970636,-83.89856975,2011,ID,circle ,#ED76E0,2310,ST-607 ,CIPTET
TW16506,Washtenaw,42.24248834,-83.5760594,2012,ID,circle ,#ED76E0,52,ST-52 ,Susceptible
TW16511,Macomb,42.50313172,-82.99629862,2012,ID,circle ,#ED76E0,6752,ST-353 ,Susceptible
TW16514,Wayne,42.28379532,-83.25885583,2012,ID,circle ,#ED76E0,353,ST-353 ,Susceptible
TW16515,Wayne,42.28379532,-83.25885583,2012,ID,circle ,#ED76E0,353,ST-353 ,TET
TW16609,Ohio,40.18857197,-83.04972275,2012,ID,circle ,#ED76E0,353,ST-353 ,TET
TW16617,Wayne,42.28379532,-83.25885583,2012,ID,circle ,#ED76E0,464,ST-464 ,CIPTET
TW16636,Livingston,42.5970636,-83.89856975,2012,ID,circle ,#ED76E0,2132,ST-353 ,Susceptible
TW16648,Macomb,42.50313172,-82.99629862,2012,ID,circle ,#ED76E0,353,ST-353 ,TET
TW16655,Wayne,42.28379532,-83.25885583,2012,ID,circle ,#ED76E0,2083,,CIPTET
TW16698,Washtenaw,42.24248834,-83.5760594,2012,ID,circle ,#ED76E0,464,ST-464 ,CIPTET
TW16702,Livingston,42.5970636,-83.89856975,2012,ID,circle ,#ED76E0,939,ST-353 ,Susceptible
TW16706,Washtenaw,42.24248834,-83.5760594,2012,ID,circle ,#ED76E0,464,ST-464 ,CIPTET
TW16709,Wayne,42.28379532,-83.25885583,2012,ID,circle ,#ED76E0,353,ST-353 ,TET
TW16719,Wayne,42.28379532,-83.25885583,2012,ID,circle ,#ED76E0,353,ST-353 ,Susceptible
TW16727,Washtenaw,42.24248834,-83.5760594,2012,ID,circle ,#ED76E0,3510,ST-353 ,CIPTET
TW19103,Livingston,42.5970636,-83.89856975,2013,ID,circle ,#ED76E0,1212,ST-607 ,TET
TW19105,Washtenaw,42.24248834,-83.5760594,2013,ID,circle ,#ED76E0,464,ST-464 ,Susceptible
TW19107,,,,2013,ID,circle ,#ED76E0,5326,,Susceptible
TW19110,Ingham,42.68114322,-84.54400192,2013,ID,circle ,#ED76E0,607,ST-607 ,CIPTET
TW19113,Eaton,42.58223738,-84.83949247,2013,ID,circle ,#ED76E0,2132,ST-353 ,CIP
TW19118,Washtenaw,42.24248834,-83.5760594,2013,ID,circle ,#ED76E0,400,ST-353 ,CIPTET
TW19119,Washtenaw,42.24248834,-83.5760594,2013,ID,circle ,#ED76E0,2275,ST-52 ,TET
TW19120,Wayne,42.28379532,-83.25885583,2013,ID,circle ,#ED76E0,8741,ST-353 ,CIP
TW19122,Washtenaw,42.24248834,-83.5760594,2013,ID,circle ,#ED76E0,52,ST-52 ,Susceptible
TW19123,Wayne,42.28379532,-83.25885583,2013,ID,circle ,#ED76E0,353,ST-353 ,Susceptible
TW19128,Washtenaw,42.24248834,-83.5760594,2013,ID,circle ,#ED76E0,824,ST-257 ,CIPTET
TW19132,Monroe,41.92271718,-83.43454358,2013,ID,circle ,#ED76E0,new_2,,TET
TW19133,Washtenaw,42.24248834,-83.5760594,2013,ID,circle ,#ED76E0,464,ST-464 ,Susceptible
TW19136,Wayne,42.28379532,-83.25885583,2013,ID,circle ,#ED76E0,353,ST-353 ,Susceptible
TW19142,,,,2013,ID,circle ,#ED76E0,353,ST-353 ,Susceptible
TW19151,Oakland,42.66281381,-83.32085081,2014,ID,circle ,#ED76E0,new_3,,CIPTET
TW19154,Washtenaw,42.24248834,-83.5760594,2014,ID,circle ,#ED76E0,9138,,CIPTET
TW19237,Wayne,42.28379532,-83.25885583,2014,ID,circle ,#ED76E0,353,ST-353 ,TET
TW19238,Wayne,42.28379532,-83.25885583,2014,ID,circle ,#ED76E0,353,ST-353 ,TET
TW19240,Kent,42.98915015,-85.6300682,2014,ID,circle ,#ED76E0,9062,ST-353 ,CIPTETTEL
TW19243,Wayne,42.28379532,-83.25885583,2014,ID,circle ,#ED76E0,1698,,TET
TW19248,Livingston,42.5970636,-83.89856975,2014,ID,circle ,#ED76E0,354,ST-354 ,TET
